education_undergrad_university,body_type_regular,pro_dogs,employed,available_yhat
0,0,0.0,0,0.0
0,0,0.0,1,0.0004317789291882556
0,0,1.0,0,0.0
0,0,1.0,1,0.0
0,1,0.0,0,0.0
0,1,0.0,1,0.0026695141484249867
0,1,1.0,0,0.0
0,1,1.0,1,0.0
1,0,0.0,0,0.005449591280653951
1,0,0.0,1,0.000860832137733142
1,0,1.0,0,0.0
1,0,1.0,1,0.0
1,1,0.0,0,0.012285012285012284
1,1,0.0,1,0.002338009352037408
1,1,1.0,0,0.0
1,1,1.0,1,0.0
