income_over_75,french,german,orientation_straight,new_york,single_yhat
0,0,0,0,0,0.9289473684210526
0,0,0,0,1,1.0
0,0,0,1,0,0.9993201389938057
0,0,0,1,1,1.0
0,0,1,0,0,0.8907563025210085
0,0,1,1,0,0.9966442953020134
0,1,0,0,0,0.87
0,1,0,1,0,0.9954337899543378
0,1,1,0,0,0.7868852459016393
0,1,1,1,0,0.9959514170040485
1,0,0,0,0,0.9666666666666667
1,0,0,1,0,1.0
1,0,1,0,0,0.6666666666666666
1,0,1,1,0,1.0
1,1,0,0,0,0.8888888888888888
1,1,0,1,0,1.0
1,1,0,1,1,1.0
1,1,1,0,0,1.0
1,1,1,1,0,1.0
