taurus,indian,washington,income_between_50_75,hinduism,single_yhat
0,0,0,0,0,0.9959661822401503
0,0,0,0,1,1.0
0,0,0,1,0,0.9983457402812241
0,0,0,1,1,1.0
0,0,1,0,0,1.0
0,1,0,0,0,1.0
0,1,0,0,1,1.0
0,1,0,1,0,1.0
0,1,0,1,1,1.0
1,0,0,0,0,0.9965277777777778
1,0,0,1,0,1.0
1,0,0,1,1,1.0
1,1,0,0,0,1.0
1,1,0,0,1,1.0
