taurus,indian,washington,income_between_50_75,hinduism,single_yhat
0,0,0,0,0,0.9959109244626181
0,0,0,0,1,1.0
0,0,0,1,0,0.9975186104218362
0,0,0,1,1,1.0
0,0,1,0,0,1.0
0,1,0,0,0,1.0
0,1,0,0,1,1.0
0,1,0,1,0,1.0
0,1,0,1,1,1.0
1,0,0,0,0,0.9965277777777778
1,0,0,1,0,1.0
1,0,0,1,1,1.0
1,1,0,0,0,1.0
1,1,0,0,1,1.0
