taurus,indian,washington,income_between_50_75,hinduism,seeing_someone_yhat
0,0,0,0,0,0.0007183511079184395
0,0,0,0,1,0.0
0,0,0,1,0,0.0
0,0,0,1,1,0.0
0,0,1,0,0,0.0
0,1,0,0,0,0.0
0,1,0,0,1,0.0
0,1,0,1,0,0.0
0,1,0,1,1,0.0
1,0,0,0,0,0.0
1,0,0,1,0,0.0
1,0,0,1,1,0.0
1,1,0,0,0,0.0
1,1,0,0,1,0.0
