atheism,asian,employed,pro_dogs,chinese,seeing_someone_yhat
0,0,0,0.0,0,0.0012106537530266344
0,0,0,0.0,1,0.0
0,0,0,1.0,0,0.0
0,0,0,1.0,1,0.0
0,0,1,0.0,0,0.0
0,0,1,0.0,1,0.0
0,0,1,1.0,0,0.00018001800180018
0,0,1,1.0,1,0.0
0,1,0,0.0,0,0.0
0,1,0,0.0,1,0.0
0,1,0,1.0,0,0.0
0,1,0,1.0,1,0.0
0,1,1,0.0,0,0.0
0,1,1,0.0,1,0.0
0,1,1,1.0,0,0.0
0,1,1,1.0,1,0.0
1,0,0,0.0,0,0.0
1,0,0,0.0,1,0.0
1,0,0,1.0,0,0.0
1,0,1,0.0,0,0.0
1,0,1,0.0,1,0.0
1,0,1,1.0,0,0.0
1,0,1,1.0,1,0.0
1,1,0,0.0,0,0.0
1,1,0,0.0,1,0.0
1,1,0,1.0,0,0.0
1,1,0,1.0,1,0.0
1,1,1,0.0,0,0.0
1,1,1,0.0,1,0.0
1,1,1,1.0,0,0.0
1,1,1,1.0,1,0.0
