taurus,indian,washington,income_between_50_75,hinduism,single_yhat
0,0,0,0,0,0.0541526219815439
0,0,0,0,1,0.030303030303030304
0,0,0,1,0,0.06782464846980976
0,0,0,1,1,0.0
0,0,1,0,0,0.0
0,1,0,0,0,0.031914893617021274
0,1,0,0,1,0.03529411764705882
0,1,0,1,0,0.15789473684210525
0,1,0,1,1,0.0
1,0,0,0,0,0.07291666666666667
1,0,0,1,0,0.09090909090909091
1,0,0,1,1,0.0
1,1,0,0,0,0.0
1,1,0,0,1,0.0
