income_over_75,french,german,orientation_straight,new_york,available_yhat
0,0,0,0,0,0.0
0,0,0,0,1,0.0
0,0,0,1,0,7.554011179936546e-05
0,0,0,1,1,0.0
0,0,1,0,0,0.0
0,0,1,1,0,0.0
0,1,0,0,0,0.0
0,1,0,1,0,0.0
0,1,1,0,0,0.0
0,1,1,1,0,0.0
1,0,0,0,0,0.0
1,0,0,1,0,0.0
1,0,1,0,0,0.0
1,0,1,1,0,0.0
1,1,0,0,0,0.0
1,1,0,1,0,0.0
1,1,0,1,1,0.0
1,1,1,0,0,0.0
1,1,1,1,0,0.0
